PMID,Title,Abstract,Processed_Abstract,Cluster,Entities,Dominant_Topic
34769087,Recent Progress in Rice Broad-Spectrum Disease Resistance.,"Rice is one of the most important food crops in the world. However, stable rice production is constrained by various diseases, in particular rice blast, sheath blight, bacterial blight, and virus diseases. Breeding and cultivation of resistant rice varieties is the most effective method to control the infection of pathogens. Exploitation and utilization of the genetic determinants of broad-spectrum resistance represent a desired way to improve the resistance of susceptible rice varieties. Recently, researchers have focused on the identification of rice broad-spectrum disease resistance genes, which include <i>R</i> genes, defense-regulator genes, and quantitative trait loci (QTL) against two or more pathogen species or many isolates of the same pathogen species. The cloning of broad-spectrum disease resistance genes and understanding their underlying mechanisms not only provide new genetic resources for breeding broad-spectrum rice varieties, but also promote the development of new disease resistance breeding strategies, such as editing susceptibility and executor <i>R</i> genes. In this review, the most recent advances in the identification of broad-spectrum disease resistance genes in rice and their application in crop improvement through biotechnology approaches during the past 10 years are summarized.",rice one important food crop world however stable rice production constrained various disease particular rice blast sheath blight bacterial blight virus disease breeding cultivation resistant rice variety effective method control infection pathogen exploitation utilization genetic determinant broadspectrum resistance represent desired way improve resistance susceptible rice variety recently researcher focused identification rice broadspectrum disease resistance gene include iri gene defenseregulator gene quantitative trait locus qtl two pathogen specie many isolates pathogen specie cloning broadspectrum disease resistance gene understanding underlying mechanism provide new genetic resource breeding broadspectrum rice variety also promote development new disease resistance breeding strategy editing susceptibility executor iri gene review recent advance identification broadspectrum disease resistance gene rice application crop improvement biotechnology approach past year summarized,1,"{'Disease': ['resistance susceptible rice variety recently researcher focused identification rice broadspectrum disease resistance gene', 'many isolates pathogen specie cloning broadspectrum disease resistance gene', 'recent advance identification broadspectrum disease resistance gene rice application crop improvement biotechnology approach'], 'Treatment': [], 'Symptom': []}",1
23184051,Blast resistance in rice: a review of conventional breeding to molecular approaches.,"Blast disease caused by the fungal pathogen Magnaporthe oryzae is the most severe diseases of rice. Using classical plant breeding techniques, breeders have developed a number of blast resistant cultivars adapted to different rice growing regions worldwide. However, the rice industry remains threatened by blast disease due to the instability of blast fungus. Recent advances in rice genomics provide additional tools for plant breeders to improve rice production systems that would be environmentally friendly. This article outlines the application of conventional breeding, tissue culture and DNA-based markers that are used for accelerating the development of blast resistant rice cultivars. The best way for controlling the disease is to incorporate both qualitative and quantitative genes in resistant variety. Through conventional and molecular breeding many blast-resistant varieties have been developed. Conventional breeding for disease resistance is tedious, time consuming and mostly dependent on environment as compare to molecular breeding particularly marker assisted selection, which is easier, highly efficient and precise. For effective management of blast disease, breeding work should be focused on utilizing the broad spectrum of resistance genes and pyramiding genes and quantitative trait loci. Marker assisted selection provides potential solution to some of the problems that conventional breeding cannot resolve. In recent years, blast resistant genes have introgressed into Luhui 17, G46B, Zhenshan 97B, Jin 23B, CO39, IR50, Pusa1602 and Pusa1603 lines through marker assisted selection. Introduction of exotic genes for resistance induced the occurrence of new races of blast fungus, therefore breeding work should be concentrated in local resistance genes. This review focuses on the conventional breeding to the latest molecular progress in blast disease resistance in rice. This update information will be helpful guidance for rice breeders to develop durable blast resistant rice variety through marker assisted selection.",blast disease caused fungal pathogen magnaporthe oryzae severe disease rice using classical plant breeding technique breeder developed number blast resistant cultivar adapted different rice growing region worldwide however rice industry remains threatened blast disease due instability blast fungus recent advance rice genomics provide additional tool plant breeder improve rice production system would environmentally friendly article outline application conventional breeding tissue culture dnabased marker used accelerating development blast resistant rice cultivar best way controlling disease incorporate qualitative quantitative gene resistant variety conventional molecular breeding many blastresistant variety developed conventional breeding disease resistance tedious time consuming mostly dependent environment compare molecular breeding particularly marker assisted selection easier highly efficient precise effective management blast disease breeding work focused utilizing broad spectrum resistance gene pyramiding gene quantitative trait locus marker assisted selection provides potential solution problem conventional breeding resolve recent year blast resistant gene introgressed luhui gb zhenshan b jin b co ir pusa pusa line marker assisted selection introduction exotic gene resistance induced occurrence new race blast fungus therefore breeding work concentrated local resistance gene review focus conventional breeding latest molecular progress blast disease resistance rice update information helpful guidance rice breeder develop durable blast resistant rice variety marker assisted selection,1,"{'Disease': ['blast disease', 'fungal pathogen magnaporthe oryzae severe disease rice', 'threatened blast disease due instability blast fungus', 'accelerating development blast resistant rice cultivar best way controlling disease', 'conventional breeding disease resistance', 'highly efficient precise effective management blast disease breeding work', 'new race blast fungus', 'molecular progress blast disease resistance rice update information'], 'Treatment': ['highly efficient precise effective management blast disease breeding work'], 'Symptom': ['highly efficient precise effective management blast disease breeding work']}",1
38437153,Optimizing nutrient transporters to enhance disease resistance in rice.,"Fertilizers and plant diseases contribute positively and negatively to crop production, respectively. Macro- and micronutrients provided by the soil and fertilizers are transported by various plant nutrient transporters from the soil to the roots and shoots, facilitating growth and development. However, the homeostasis of different nutrients has different effects on plant disease. This review is aimed at providing insights into the interconnected regulation between nutrient homeostasis and immune responses, and it highlights strategies to enhance disease resistance by optimal manipulation of nutrient transporters in rice. First, we highlight the essential roles of six macronutrients (nitrogen, phosphorus, potassium, sulfur, calcium, magnesium) and eight micronutrients (iron, manganese, zinc, copper, boron, molybdenum, silicon, nickel), and summarize the diverse effects of each on rice diseases. We then systematically review the molecular mechanisms of immune responses modulated by nutrient transporters and the genetic regulatory pathways that control the specific nutrient-mediated immune signaling that is regulated by the pathogens and the host plant. Finally, we discuss putative strategies for breeding disease-resistant rice by genetic engineering of nutrient transporters.",fertilizer plant disease contribute positively negatively crop production respectively macro micronutrient provided soil fertilizer transported various plant nutrient transporter soil root shoot facilitating growth development however homeostasis different nutrient different effect plant disease review aimed providing insight interconnected regulation nutrient homeostasis immune response highlight strategy enhance disease resistance optimal manipulation nutrient transporter rice first highlight essential role six macronutrients nitrogen phosphorus potassium sulfur calcium magnesium eight micronutrient iron manganese zinc copper boron molybdenum silicon nickel summarize diverse effect rice disease systematically review molecular mechanism immune response modulated nutrient transporter genetic regulatory pathway control specific nutrientmediated immune signaling regulated pathogen host plant finally discus putative strategy breeding diseaseresistant rice genetic engineering nutrient transporter,3,"{'Disease': ['fertilizer plant disease', 'different nutrient different effect plant disease review', 'nutrient homeostasis immune response highlight strategy enhance disease resistance optimal manipulation', 'diverse effect rice disease', 'diseaseresistant rice genetic engineering'], 'Treatment': [], 'Symptom': ['different nutrient different effect plant disease review', 'diverse effect rice disease']}",3
29642631,Prospects of Understanding the Molecular Biology of Disease Resistance in Rice.,"Rice is one of the important crops grown worldwide and is considered as an important crop for global food security. Rice is being affected by various fungal, bacterial and viral diseases resulting in huge yield losses every year. Deployment of resistance genes in various crops is one of the important methods of disease management. However, identification, cloning and characterization of disease resistance genes is a very tedious effort. To increase the life span of resistant cultivars, it is important to understand the molecular basis of plant host-pathogen interaction. With the advancement in rice genetics and genomics, several rice varieties resistant to fungal, bacterial and viral pathogens have been developed. However, resistance response of these varieties break down very frequently because of the emergence of more virulent races of the pathogen in nature. To increase the durability of resistance genes under field conditions, understanding the mechanismof resistance response and its molecular basis should be well understood. Some emerging concepts like interspecies transfer of pattern recognition receptors (PRRs) and transgenerational plant immunitycan be employed to develop sustainable broad spectrum resistant varieties of rice.",rice one important crop grown worldwide considered important crop global food security rice affected various fungal bacterial viral disease resulting huge yield loss every year deployment resistance gene various crop one important method disease management however identification cloning characterization disease resistance gene tedious effort increase life span resistant cultivar important understand molecular basis plant hostpathogen interaction advancement rice genetics genomics several rice variety resistant fungal bacterial viral pathogen developed however resistance response variety break frequently emergence virulent race pathogen nature increase durability resistance gene field condition understanding mechanismof resistance response molecular basis well understood emerging concept like interspecies transfer pattern recognition receptor prrs transgenerational plant immunitycan employed develop sustainable broad spectrum resistant variety rice,1,"{'Disease': ['various fungal bacterial viral disease', 'one important method disease management', 'characterization disease resistance gene'], 'Treatment': ['one important method disease management'], 'Symptom': []}",1
37715970,Ustilaginoidea virens-secreted effector Uv1809 suppresses rice immunity by enhancing OsSRT2-mediated histone deacetylation.,"Rice false smut caused by Ustilaginoidea virens is a devastating rice (Oryza sativa) disease worldwide. However, the molecular mechanisms underlying U. virens-rice interactions are largely unknown. In this study, we identified a secreted protein, Uv1809, as a key virulence factor. Heterologous expression of Uv1809 in rice enhanced susceptibility to rice false smut and bacterial blight. Host-induced gene silencing of Uv1809 in rice enhanced resistance to U. virens, suggesting that Uv1809 inhibits rice immunity and promotes infection by U. virens. Uv1809 suppresses rice immunity by targeting and enhancing rice histone deacetylase OsSRT2-mediated histone deacetylation, thereby reducing H4K5ac and H4K8ac levels and interfering with the transcriptional activation of defence genes. CRISPR-Cas9 edited ossrt2 mutants showed no adverse effects in terms of growth and yield but displayed broad-spectrum resistance to rice pathogens, revealing a potentially valuable genetic resource for breeding disease resistance. Our study provides insight into defence mechanisms against plant pathogens that inactivate plant immunity at the epigenetic level.",rice false smut caused ustilaginoidea virens devastating rice oryza sativa disease worldwide however molecular mechanism underlying u virensrice interaction largely unknown study identified secreted protein uv key virulence factor heterologous expression uv rice enhanced susceptibility rice false smut bacterial blight hostinduced gene silencing uv rice enhanced resistance u virens suggesting uv inhibits rice immunity promotes infection u virens uv suppresses rice immunity targeting enhancing rice histone deacetylase ossrtmediated histone deacetylation thereby reducing hkac hkac level interfering transcriptional activation defence gene crisprcas edited ossrt mutant showed adverse effect term growth yield displayed broadspectrum resistance rice pathogen revealing potentially valuable genetic resource breeding disease resistance study provides insight defence mechanism plant pathogen inactivate plant immunity epigenetic level,2,"{'Disease': ['devastating rice oryza sativa disease', 'potentially valuable genetic resource breeding disease resistance study'], 'Treatment': [], 'Symptom': ['adverse effect term growth yield']}",2
28410155,The puzzle of bakanae disease through interactions between Fusarium fujikuroi and rice.,"Bakanae disease, one of the most noteworthy seedborne rice diseases, is caused by Fusarium fujikuroi, a member of the Gibberella fujikuroi species complex. The decreasing availability of chemical seed-dressing products over the last few years has raised the concerns of rice seed companies regarding bakanae disease. Therefore, new research trends require a deeper investigation into the main aspects of bakanae disease through interactions between rice and F. fujikuroi, in order to find new resistant or tolerant cultivars and alternative bakanae disease control strategies, as well as to develop more sensitive molecular diagnostic techniques. Here, some new aspects of F. fujikuroi epidemiology and pathogenicity, as well as its interactions with rice, are reported, and recent approaches applied to control bakanae disease are summarized.",bakanae disease one noteworthy seedborne rice disease caused fusarium fujikuroi member gibberella fujikuroi specie complex decreasing availability chemical seeddressing product last year raised concern rice seed company regarding bakanae disease therefore new research trend require deeper investigation main aspect bakanae disease interaction rice f fujikuroi order find new resistant tolerant cultivar alternative bakanae disease control strategy well develop sensitive molecular diagnostic technique new aspect f fujikuroi epidemiology pathogenicity well interaction rice reported recent approach applied control bakanae disease summarized,2,"{'Disease': ['bakanae disease one noteworthy seedborne rice disease', 'bakanae disease', 'main aspect bakanae disease interaction rice f fujikuroi order', 'new resistant tolerant cultivar alternative bakanae disease control strategy', 'recent approach applied control bakanae disease'], 'Treatment': [], 'Symptom': []}",2
24658743,Disease resistance in rice and the role of molecular breeding in protecting rice crops against diseases.,"Rice diseases (bacterial, fungal, or viral) threaten food productivity. Host resistance is the most efficient, environmentally friendly method to cope with such diverse pathogens. Quantitative resistance conferred by quantitative trait loci (QTLs) is a valuable resource for rice disease resistance improvement. Although QTLs confer partial but durable resistance to many pathogen species in different crop plants, the molecular mechanisms of quantitative disease resistance remain mostly unknown. Quantitative resistance and non-host resistance are types of broad-spectrum resistance, which are mediated by resistance (R) genes. Because R genes activate different resistance pathways, investigating the genetic spectrum of resistance may lead to minimal losses from harmful diseases. Genome studies can reveal interactions between different genes and their pathways and provide insight into gene functions. Protein–protein interaction (proteomics) studies using molecular and bioinformatics tools may further enlighten our understanding of resistance phenomena.",rice disease bacterial fungal viral threaten food productivity host resistance efficient environmentally friendly method cope diverse pathogen quantitative resistance conferred quantitative trait locus qtls valuable resource rice disease resistance improvement although qtls confer partial durable resistance many pathogen specie different crop plant molecular mechanism quantitative disease resistance remain mostly unknown quantitative resistance nonhost resistance type broadspectrum resistance mediated resistance r gene r gene activate different resistance pathway investigating genetic spectrum resistance may lead minimal loss harmful disease genome study reveal interaction different gene pathway provide insight gene function protein–protein interaction proteomics study using molecular bioinformatics tool may enlighten understanding resistance phenomenon,0,"{'Disease': ['rice disease bacterial fungal viral threaten food productivity host resistance', 'diverse pathogen quantitative resistance conferred quantitative trait locus qtls valuable resource rice disease resistance improvement', 'different crop plant molecular mechanism quantitative disease resistance', 'minimal loss harmful disease genome study'], 'Treatment': ['environmentally friendly method'], 'Symptom': []}",1
34890109,Engineering of rice varieties with enhanced resistances to both blast and bacterial blight diseases via CRISPR/Cas9.,"Rice blast and bacterial blight represent two of major diseases having devastating impact on the yield of rice in most rice-growing countries. Developments of resistant cultivars are the most economic and effective strategy to control these diseases. Here, we used CRISPR/Cas9-mediated gene editing to rapidly install mutations in three known broad-spectrum blast-resistant genes, Bsr-d1, Pi21 and ERF922, in an indica thermosensitive genic male sterile (TGMS) rice line Longke638S (LK638S). We obtained transgene-free homozygous single or triple mutants in T<sub>1</sub> generations. While all single and triple mutants showed increased resistance to rice blast compared with wild type, the erf922 mutants displayed the strongest blast resistance similar with triple mutants. Surprisingly, we found that Pi21 or ERF922 single mutants conferred enhanced resistance to most of tested bacterial blight. Both resistances in mutants were attribute to the up-regulation of SA- and JA-pathway associated genes. Moreover, phenotypic analysis of these single mutants in paddy fields revealed that there were no trade-offs between resistances and main agricultural traits. Together, our study provides a rapid and effective way to generate rice varieties with resistance to both rice blast and bacterial blight.",rice blast bacterial blight represent two major disease devastating impact yield rice ricegrowing country development resistant cultivar economic effective strategy control disease used crisprcasmediated gene editing rapidly install mutation three known broadspectrum blastresistant gene bsrd pi erf indica thermosensitive genic male sterile tgms rice line longkes lks obtained transgenefree homozygous single triple mutant tsubsub generation single triple mutant showed increased resistance rice blast compared wild type erf mutant displayed strongest blast resistance similar triple mutant surprisingly found pi erf single mutant conferred enhanced resistance tested bacterial blight resistance mutant attribute upregulation sa japathway associated gene moreover phenotypic analysis single mutant paddy field revealed tradeoff resistance main agricultural trait together study provides rapid effective way generate rice variety resistance rice blast bacterial blight,1,"{'Disease': ['two major disease', 'rice ricegrowing country development resistant cultivar economic effective strategy control disease'], 'Treatment': [], 'Symptom': ['devastating impact', 'rice ricegrowing country development resistant cultivar economic effective strategy control disease', 'rapid effective way']}",1
39460780,Exploring the molecular mechanisms of rice blast resistance and advances in breeding for disease tolerance.,"Rice blast, caused by the fungus Magnaporthe oryzae (syn. Pyricularia oryzae), is a major problem in rice cultivation and ranks among the most severe fungal diseases. Cloning and identifying resistance genes in rice, coupled with a comprehensive examination of the interaction between M. oryzae and rice, may provide insights into the mechanisms of rice disease resistance and facilitate the creation of new rice varieties with improved germplasm. These efforts are essential for protecting food security. This review examines the discovery of genes that confer resistance or susceptiblity to M. oryzae in rice over the last decade. It also discusses how knowledge of molecular mechanisms has been used in rice breeding and outlines key strategies for creating rice varieties resistant to this disease. The strategies discussed include gene pyramiding, molecular design breeding, editing susceptibility genes, and increasing expression of resistance genes through pathogen challenge. We address the prospects and challenges in breeding for rice blast resistance, emphasizing the need to fully exploit germplasm resources, employ cutting-edge methods to identify new resistance genes, and develop innovative breeding cultivars. Additionally, we underscore the importance of understanding the molecular basis of rice blast resistance and developing novel cultivars with broad-spectrum disease resistance.",rice blast caused fungus magnaporthe oryzae syn pyricularia oryzae major problem rice cultivation rank among severe fungal disease cloning identifying resistance gene rice coupled comprehensive examination interaction oryzae rice may provide insight mechanism rice disease resistance facilitate creation new rice variety improved germplasm effort essential protecting food security review examines discovery gene confer resistance susceptiblity oryzae rice last decade also discusses knowledge molecular mechanism used rice breeding outline key strategy creating rice variety resistant disease strategy discussed include gene pyramiding molecular design breeding editing susceptibility gene increasing expression resistance gene pathogen challenge address prospect challenge breeding rice blast resistance emphasizing need fully exploit germplasm resource employ cuttingedge method identify new resistance gene develop innovative breeding cultivar additionally underscore importance understanding molecular basis rice blast resistance developing novel cultivar broadspectrum disease resistance,1,"{'Disease': ['fungus magnaporthe', 'severe fungal disease', 'insight mechanism rice disease resistance facilitate creation new rice variety', 'rice variety resistant disease strategy', 'molecular basis rice blast resistance developing novel cultivar broadspectrum disease resistance'], 'Treatment': ['fully exploit germplasm resource employ cuttingedge method'], 'Symptom': []}",1
39180629,Allelic variation in rice blast resistance: a pathway to sustainable disease management.,"Rice blast is a major problem in agriculture, affecting rice production and threatening food security worldwide. This disease, caused by the fungus Magnaporthe oryzae, has led to a lot of research since the discovery of the first resistance gene, pib, in 1999. Researchers have now identified more than 50 resistance genes on eight of the twelve chromosomes in rice, each targeting different strains of the pathogen.These genes are spread out across seventeen different loci. These genes, which primarily code for nucleotide-binding and leucine-rich repeat proteins, play an important part in the defense of rice against the pathogen, either alone or in combination with other genes. An important characteristic of these genes is the allelic or paralogous interactions that exist within these loci. These relationships contribute to the gene's increased capacity for evolutionary adaptation. The ability of resistance proteins to recognize and react to novel effectors is improved by the frequent occurrence of variations within the domains that are responsible for recognizing pathogen effectors. The purpose of this review is to summarize the progress that has been made in identifying these essential genes and to investigate the possibility of utilizing the allelic variants obtained from these genes in future rice breeding efforts to increase resistance to rice blast.",rice blast major problem agriculture affecting rice production threatening food security worldwide disease caused fungus magnaporthe oryzae led lot research since discovery first resistance gene pib researcher identified resistance gene eight twelve chromosome rice targeting different strain pathogenthese gene spread across seventeen different locus gene primarily code nucleotidebinding leucinerich repeat protein play important part defense rice pathogen either alone combination gene important characteristic gene allelic paralogous interaction exist within locus relationship contribute gene increased capacity evolutionary adaptation ability resistance protein recognize react novel effector improved frequent occurrence variation within domain responsible recognizing pathogen effector purpose review summarize progress made identifying essential gene investigate possibility utilizing allelic variant obtained gene future rice breeding effort increase resistance rice blast,4,"{'Disease': ['food security worldwide disease', 'fungus magnaporthe oryzae'], 'Treatment': [], 'Symptom': ['react novel effector', 'responsible recognizing pathogen effector purpose review']}",1
